Position,Ball_Control,Dribbling,Marking,Sliding_Tackle,Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,RESISTENCIA,FORCA,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
MEIO,75,70,53,45,55,84,76,82,53,74,68,68,74,71,76,77,75,71,68,80,80,76,82,70,77,79,77,71,80,8,8,11,11,11
MEIO,76,77,29,47,42,87,72,72,42,74,76,71,76,70,76,73,64,50,90,77,74,65,75,70,75,77,69,66,72,16,13,10,14,9
MEIO,75,72,51,49,51,57,76,75,54,78,75,73,78,76,72,71,73,58,69,73,34,58,70,66,68,58,57,63,70,7,7,16,12,14
ATACANTE,73,71,33,40,42,66,73,76,42,69,72,69,72,64,68,75,76,77,74,71,82,74,73,76,68,69,73,78,72,6,12,14,14,7
GK,20,15,14,14,17,32,78,13,22,35,55,10,32,32,51,49,31,71,40,48,65,14,22,14,14,13,12,22,13,75,72,74,71,78
ATACANTE,69,71,29,18,13,75,75,77,30,59,72,64,66,51,78,78,79,77,69,76,92,80,75,75,64,60,42,74,68,6,11,11,8,16
ZAGUEIRO,55,44,78,77,80,60,78,35,76,37,73,42,68,60,63,67,65,75,62,60,69,77,59,35,33,30,48,53,36,16,10,12,8,8
MEIO,76,68,38,48,64,71,71,79,65,69,75,71,74,71,73,76,87,76,78,72,81,76,69,76,70,55,34,39,63,12,13,9,6,10
ZAGUEIRO,74,68,75,82,79,66,64,60,78,64,67,68,72,70,78,68,74,64,83,70,74,63,46,30,47,69,34,44,35,16,15,14,16,6
MEIO,79,72,60,63,68,72,77,68,58,76,80,69,76,73,69,68,76,69,80,83,62,56,76,64,70,76,80,74,74,7,16,11,15,15
ZAGUEIRO,75,68,75,74,75,75,75,60,71,69,73,53,76,72,65,62,68,74,66,66,78,77,68,37,56,56,44,41,40,15,11,14,9,7
MEIO,74,72,62,62,68,68,69,65,65,76,73,68,82,76,64,62,80,69,73,63,71,59,67,63,65,61,68,67,55,16,16,7,14,8
MEIO,67,59,62,72,78,91,74,58,79,58,72,65,75,69,54,64,83,76,63,64,78,67,74,60,46,52,54,71,42,7,8,9,14,11
ZAGUEIRO,73,64,72,80,76,46,69,53,78,63,48,83,69,71,56,67,71,78,42,55,40,71,57,45,61,72,47,43,41,13,11,12,6,7
MEIO,77,77,66,60,72,76,70,66,72,74,76,67,74,75,52,55,75,89,54,53,32,66,73,64,71,70,64,76,61,7,7,6,14,12
ZAGUEIRO,73,69,74,73,72,88,75,64,76,67,83,74,69,66,77,82,76,75,64,68,77,64,80,55,69,67,68,58,59,15,6,13,6,10
ZAGUEIRO,67,51,76,78,78,64,77,44,76,55,75,61,66,62,66,66,74,74,54,63,67,71,65,52,57,46,41,55,46,9,7,16,11,6
ZAGUEIRO,49,45,79,74,78,73,60,20,79,25,73,25,45,45,34,54,54,92,32,32,68,78,72,36,22,19,18,33,35,10,8,10,7,14
ZAGUEIRO,63,51,77,76,74,66,72,44,79,52,67,49,68,63,62,66,65,72,57,56,79,74,44,35,32,25,32,46,26,14,12,16,10,7
GK,12,8,15,13,18,21,61,14,22,58,48,11,12,13,40,41,29,68,51,50,41,14,34,12,10,12,11,17,10,76,74,82,76,74
MEIO,74,70,70,74,77,71,74,48,72,65,74,65,75,70,66,68,87,74,81,72,90,61,62,45,36,36,66,34,49,11,14,13,12,12
GK,33,14,13,14,14,29,66,11,18,38,34,11,33,34,41,44,31,60,43,50,61,16,36,14,14,15,14,30,16,71,78,73,71,79
ZAGUEIRO,67,64,75,76,77,79,75,58,77,63,60,68,64,58,76,72,79,72,81,64,79,70,37,27,54,44,32,54,50,9,10,13,15,11
MEIO,77,81,27,35,32,58,65,69,30,73,70,78,74,67,83,78,70,56,80,85,67,46,62,63,70,84,61,73,54,14,6,16,13,10
ZAGUEIRO,64,30,79,72,80,75,71,42,77,52,61,60,66,56,38,49,51,72,68,48,63,73,43,25,30,40,34,39,25,6,13,8,15,13
MEIO,76,74,43,40,47,65,74,73,43,75,74,68,73,75,76,64,67,59,76,72,64,62,73,68,77,79,77,62,68,12,7,11,16,15
GK,24,13,14,11,12,25,71,15,20,59,67,12,33,32,59,48,31,65,60,56,75,12,23,10,11,11,13,22,11,73,77,72,74,76
ZAGUEIRO,66,58,74,76,75,78,64,58,72,56,66,68,72,69,82,86,81,72,67,63,73,70,53,61,57,52,46,58,32,14,14,15,8,6
MEIO,73,81,27,39,50,66,81,76,39,77,82,64,75,57,72,69,59,65,67,62,71,68,61,72,55,71,59,68,58,8,12,13,6,6
MEIO,68,46,72,68,73,83,70,36,73,68,69,48,71,66,52,53,79,77,69,58,66,65,67,25,37,38,41,30,47,16,13,8,8,15
MEIO,68,67,73,75,78,85,71,64,74,70,69,65,75,69,66,66,84,74,57,72,70,68,62,29,63,52,55,60,63,11,6,9,6,6
MEIO,78,74,51,47,54,59,73,74,58,78,68,64,77,71,68,59,67,69,68,68,61,56,70,71,74,44,66,50,43,15,8,15,13,6
ZAGUEIRO,59,56,72,70,75,80,74,35,78,37,73,57,60,55,51,73,72,81,33,33,83,70,68,55,41,65,62,65,53,10,14,16,8,11
MEIO,75,75,46,27,52,57,72,74,56,75,71,76,75,70,75,79,63,73,69,74,59,59,73,65,67,63,57,72,65,9,15,12,8,15
MEIO,75,80,35,38,46,58,73,74,42,61,76,83,74,79,78,71,67,57,69,77,59,46,65,66,75,83,76,71,66,10,15,9,13,9
MEIO,76,76,75,74,75,75,72,67,74,70,72,77,75,73,68,73,77,76,65,73,71,68,74,40,66,79,78,65,65,16,7,16,10,6
ATACANTE,70,67,19,15,24,65,82,82,42,64,75,54,63,45,76,74,75,65,78,75,70,65,75,81,67,61,50,67,67,10,12,13,13,6
MEIO,77,74,64,60,61,82,76,70,59,78,75,90,76,74,51,55,79,67,75,65,70,66,81,72,79,86,84,78,74,14,7,14,11,8
ATACANTE,84,82,24,28,32,64,66,76,34,76,78,78,79,71,69,66,68,62,72,69,52,61,81,62,78,79,82,66,76,14,14,10,7,11
GK,24,10,13,13,15,20,71,13,22,34,18,12,35,36,47,51,37,57,38,54,69,10,22,13,10,10,11,19,10,71,80,67,70,80
ZAGUEIRO,73,65,76,75,76,75,65,51,75,55,74,73,73,70,59,64,72,80,61,58,67,73,41,25,26,32,23,24,26,11,11,9,10,7
MEIO,77,75,41,49,50,79,78,80,53,74,79,59,72,63,75,74,82,76,68,78,84,76,74,75,64,67,38,79,66,9,12,8,11,16
ZAGUEIRO,58,49,74,77,79,84,78,40,71,46,79,60,58,65,67,64,73,77,55,63,82,65,71,37,41,56,47,56,42,6,13,7,10,12
MEIO,79,76,63,60,64,80,79,65,55,81,66,75,76,75,69,69,81,82,42,56,62,66,75,68,71,63,65,65,65,7,7,8,15,6
ZAGUEIRO,57,45,73,81,74,88,68,29,72,54,66,54,60,52,32,30,75,87,35,30,63,75,68,39,42,42,35,57,54,7,16,13,6,13
MEIO,76,75,43,50,58,76,66,71,65,74,65,78,76,76,74,69,74,56,83,71,70,46,70,71,73,78,77,68,55,16,6,9,7,8
ZAGUEIRO,62,48,76,75,79,69,63,47,71,50,57,37,64,68,53,55,60,78,58,62,88,79,72,32,57,56,55,53,36,3,3,3,5,5
ZAGUEIRO,75,74,71,75,74,79,70,75,67,69,74,79,69,66,84,82,78,85,76,88,63,64,67,67,63,77,70,68,52,6,12,12,12,13
ZAGUEIRO,77,74,75,74,76,76,76,69,82,75,80,72,74,73,80,78,82,62,83,82,87,65,62,53,67,68,65,66,61,11,10,7,7,15
ZAGUEIRO,58,39,76,75,77,78,72,34,70,49,68,43,69,67,50,52,63,82,52,49,54,83,67,42,50,44,45,50,25,6,16,13,6,11
MEIO,75,74,60,67,68,81,75,74,66,78,75,83,77,78,50,48,59,77,65,65,48,55,85,70,84,89,87,84,71,9,7,7,6,16
MEIO,78,82,33,21,28,58,71,71,34,67,75,69,71,60,83,82,66,75,74,78,81,69,85,66,79,70,47,70,67,11,16,12,8,15
MEIO,72,61,73,72,76,83,74,69,77,68,77,63,74,71,63,57,71,75,72,62,70,70,78,58,65,65,56,61,73,6,7,6,12,7
MEIO,80,82,34,29,41,72,72,67,51,65,73,74,72,69,79,77,60,57,75,91,57,60,72,66,73,73,72,77,70,13,10,12,9,6
ZAGUEIRO,59,39,76,71,76,79,80,40,68,57,63,47,73,56,49,49,62,81,46,58,73,77,48,38,35,49,27,40,23,6,11,13,10,13
ZAGUEIRO,58,31,75,70,76,82,61,46,71,48,73,53,58,56,53,45,58,90,37,34,71,85,58,49,55,37,47,58,55,14,13,16,6,10
GK,14,13,12,13,14,32,73,10,22,32,53,12,34,26,52,51,36,72,36,48,71,14,23,14,17,14,19,16,13,76,73,71,71,75
MEIO,73,65,76,74,75,76,73,49,77,64,68,66,76,73,60,60,75,73,80,66,77,66,68,42,61,58,62,57,38,14,7,8,9,7
ZAGUEIRO,59,56,71,75,73,79,73,37,76,42,65,53,70,68,56,51,77,82,53,68,75,77,63,45,60,52,61,75,46,15,6,13,9,14
ZAGUEIRO,53,38,79,76,79,76,68,28,80,46,69,38,58,60,54,54,54,74,32,34,72,76,27,14,27,48,32,29,22,9,13,15,10,14
ZAGUEIRO,77,70,65,75,75,72,76,74,67,58,78,77,74,72,76,77,79,78,67,74,87,74,75,67,69,71,55,57,79,11,9,9,5,9
ZAGUEIRO,44,30,80,76,80,80,60,28,80,24,67,28,48,52,34,34,34,88,32,29,55,78,70,20,36,25,23,54,19,5,11,9,9,6
MEIO,70,70,70,74,75,85,76,68,75,68,72,61,74,72,62,63,87,65,83,75,86,69,69,50,68,54,45,58,61,14,8,13,8,16
ZAGUEIRO,68,64,74,73,72,69,72,59,74,64,74,76,70,71,92,83,80,60,73,75,70,58,59,60,55,63,41,65,58,12,12,15,9,15
ZAGUEIRO,69,58,78,78,75,68,72,53,75,66,77,72,73,71,74,75,75,51,71,67,77,63,64,35,44,53,48,46,61,16,13,14,16,7
ZAGUEIRO,72,63,75,73,70,68,79,64,74,68,69,73,77,75,76,78,77,46,84,84,61,67,68,46,46,64,38,49,48,13,9,11,6,13
ZAGUEIRO,73,64,80,76,74,80,76,55,73,56,72,65,75,66,69,68,62,72,68,64,82,65,72,38,59,65,55,38,46,7,8,11,12,11
GK,13,14,10,15,11,28,72,12,18,42,26,35,23,28,59,43,44,65,46,57,65,13,24,15,22,25,20,25,21,72,73,77,75,77
ZAGUEIRO,65,54,79,82,79,78,77,59,78,57,81,73,73,68,63,70,67,77,60,59,68,65,72,53,47,56,47,49,48,6,10,9,13,13
MEIO,71,60,58,74,79,72,82,68,79,76,82,55,77,73,60,54,81,76,73,68,79,55,80,59,58,52,63,60,53,9,15,10,7,9
MEIO,74,70,68,64,76,77,69,58,75,68,69,66,75,71,53,58,83,86,53,52,73,69,73,54,70,70,63,66,57,10,13,13,15,12
MEIO,80,80,47,50,55,67,72,74,37,69,73,72,68,69,75,76,76,50,84,82,78,44,72,72,70,73,60,71,65,8,15,16,13,10
GK,17,15,13,11,15,37,75,12,22,17,65,12,38,36,42,43,31,62,47,48,63,13,25,11,12,11,12,24,12,71,75,77,70,78
MEIO,74,72,59,62,70,68,69,73,59,76,71,64,80,77,68,68,74,75,58,68,71,58,75,69,68,74,59,41,65,8,9,8,10,15
MEIO,81,74,30,27,30,59,73,70,49,80,88,66,79,78,61,57,44,59,77,71,62,47,74,61,74,75,83,82,66,16,15,13,15,10
GK,21,14,13,13,14,41,73,13,24,42,67,11,21,30,48,50,34,63,41,33,63,14,22,19,12,19,14,11,15,74,76,67,72,75
GK,23,13,17,17,19,31,70,12,10,45,60,13,25,24,43,31,41,49,23,31,63,10,21,11,14,11,12,22,10,76,77,60,70,79
MEIO,75,70,69,70,74,76,75,70,73,73,76,65,78,76,68,69,78,72,58,62,72,69,79,61,75,49,59,51,60,11,15,14,10,6
ATACANTE,76,72,15,15,21,63,70,81,20,65,75,54,70,48,55,52,53,84,55,58,63,78,76,79,60,70,56,73,74,9,14,10,14,9
GK,35,11,15,14,13,45,75,11,17,49,43,12,12,29,29,32,43,72,55,56,68,13,12,13,11,13,12,12,12,75,74,78,69,78
MEIO,76,75,64,72,68,67,76,75,77,72,74,67,76,73,69,69,77,69,68,68,70,64,85,60,79,68,74,68,75,6,13,11,7,14
ATACANTE,73,72,61,44,56,81,74,75,61,69,74,75,72,61,67,68,91,84,68,76,76,74,73,75,69,64,56,72,67,10,8,7,14,6
MEIO,74,72,62,74,74,92,71,72,72,74,76,78,74,74,55,55,87,74,72,68,71,63,72,64,73,70,75,73,61,9,12,11,10,8
MEIO,73,60,72,75,79,84,70,55,81,64,68,57,72,70,55,55,68,78,71,55,75,75,73,37,71,49,44,62,50,8,12,12,11,5
MEIO,83,77,53,68,58,61,69,70,67,75,71,80,80,68,61,57,67,66,66,69,72,71,77,69,74,77,82,74,81,7,14,12,12,9
ATACANTE,74,71,12,16,15,44,64,75,33,73,72,73,73,71,74,72,72,76,63,70,74,76,74,72,73,78,70,86,77,10,11,12,6,9
MEIO,77,74,66,68,72,76,70,68,75,74,75,72,79,77,68,68,71,78,69,64,69,66,80,51,76,74,72,69,64,8,7,13,8,14
ATACANTE,75,75,22,26,43,47,71,73,28,66,72,61,67,49,75,78,73,84,61,75,78,72,80,73,70,57,56,67,71,12,10,7,6,7
GK,19,16,12,12,12,36,70,10,17,38,59,11,33,33,40,42,31,72,45,47,71,14,22,12,13,11,12,18,11,70,77,67,75,79
GK,24,11,10,16,13,44,73,15,23,38,46,18,33,37,39,44,32,61,41,32,68,13,17,10,12,10,12,12,12,74,74,75,73,74
ZAGUEIRO,70,62,72,80,72,71,65,53,73,52,56,70,67,66,74,76,65,76,69,68,75,70,73,44,58,57,64,65,33,16,16,8,12,15
ATACANTE,74,68,14,18,26,78,76,81,28,55,72,51,65,45,68,68,66,78,60,69,91,75,78,75,62,63,66,71,85,4,4,4,4,4
MEIO,79,75,55,53,61,63,74,68,59,80,71,70,83,80,51,51,54,55,68,65,61,65,61,61,64,74,74,69,63,7,6,8,8,8
GK,15,12,13,12,12,34,63,12,22,33,61,25,32,33,54,55,41,68,58,51,60,14,23,13,22,25,15,13,14,77,78,64,78,72
MEIO,81,77,31,26,30,73,73,75,47,74,86,76,78,75,67,68,55,73,70,72,70,61,81,76,80,76,71,77,76,9,15,15,11,9
ATACANTE,76,71,41,20,22,78,73,77,35,70,66,62,71,65,78,76,77,76,75,74,81,72,81,70,72,67,69,80,73,16,13,13,14,12
MEIO,76,74,14,18,28,69,77,79,33,76,80,69,76,72,62,53,67,74,65,73,53,77,78,75,74,73,52,73,71,14,14,8,7,9
MEIO,82,66,70,66,68,77,73,63,74,84,78,76,81,79,34,50,41,87,44,34,57,72,91,60,75,68,74,72,79,9,10,11,7,11
MEIO,77,76,42,37,26,36,71,70,46,74,68,78,72,73,74,72,75,62,74,71,42,62,74,66,73,80,74,68,70,16,10,16,12,9
ZAGUEIRO,70,64,82,80,79,76,78,59,77,56,81,71,70,65,57,61,73,74,67,60,69,65,68,36,62,71,62,33,58,13,7,13,6,6
ATACANTE,79,75,25,29,27,51,72,80,21,65,79,61,69,49,69,69,55,70,75,69,65,60,78,80,76,73,73,75,76,9,11,8,15,8
ATACANTE,77,62,31,20,26,70,78,80,23,74,78,59,76,63,47,49,70,74,29,56,34,83,75,75,70,57,50,74,80,10,13,7,14,14
MEIO,74,69,72,70,72,76,74,67,74,78,77,78,80,79,52,47,70,68,75,70,62,61,65,60,65,69,73,65,63,12,7,12,13,16
ZAGUEIRO,75,74,73,78,77,76,73,63,72,67,69,73,75,68,76,86,66,71,91,83,83,57,80,43,65,74,62,52,63,10,15,16,11,11
GK,25,14,11,13,13,43,66,13,18,49,64,11,36,38,33,42,30,72,51,68,73,13,23,19,14,20,14,23,15,75,75,69,74,77
MEIO,83,80,40,31,37,64,76,75,43,79,82,77,79,78,58,54,50,65,65,64,68,60,79,68,76,81,79,84,65,15,6,15,13,13
MEIO,74,69,62,57,66,75,77,80,65,74,84,77,75,70,63,68,83,75,61,65,73,80,80,75,73,64,51,87,74,11,8,16,6,7
GK,23,18,12,11,12,40,68,10,19,49,60,11,27,26,55,45,31,55,51,53,68,10,19,17,19,19,18,20,19,79,74,67,76,72
ATACANTE,75,68,19,25,29,49,71,83,21,62,75,51,71,41,62,55,54,74,60,69,80,81,71,79,57,68,53,71,77,7,8,6,12,10
GK,24,13,14,12,11,43,74,13,27,31,67,12,38,33,39,44,29,57,54,45,73,13,42,14,12,20,13,44,20,79,71,72,73,74
ZAGUEIRO,60,44,80,76,80,70,72,29,81,46,67,34,62,64,50,54,55,69,63,52,70,74,68,20,40,49,21,35,19,9,11,8,6,5
MEIO,75,71,70,73,75,69,70,60,71,73,58,61,80,74,57,59,71,64,60,66,56,42,43,59,65,66,52,55,44,10,12,11,11,8
ZAGUEIRO,74,74,69,73,74,68,70,64,69,58,63,76,73,67,81,83,74,69,74,69,68,65,58,35,51,73,30,30,59,9,12,5,12,13
ZAGUEIRO,64,62,72,72,76,68,70,59,72,62,79,68,72,69,76,72,79,79,71,73,74,72,50,49,40,68,40,44,37,12,6,14,9,8
ATACANTE,76,79,17,19,24,54,68,75,22,71,74,61,70,55,77,78,68,68,68,76,63,68,72,75,71,72,56,58,65,9,11,8,15,14
MEIO,75,75,38,30,32,41,74,68,43,76,79,59,75,60,68,66,67,44,85,76,48,47,60,72,63,68,64,73,69,11,10,12,11,13
ZAGUEIRO,72,78,70,78,74,75,64,50,69,45,52,72,70,52,84,85,77,76,61,75,62,65,38,30,25,35,25,39,27,7,12,7,10,7
ATACANTE,69,74,20,23,25,66,71,72,24,59,60,66,62,55,87,88,85,79,59,73,77,63,79,75,72,65,53,72,75,15,6,9,11,9
MEIO,78,76,68,64,68,64,74,64,70,78,74,72,80,78,77,75,79,55,79,77,55,54,58,48,58,74,62,58,68,10,10,6,7,14
MEIO,76,72,42,32,45,62,64,71,49,76,63,71,76,70,74,76,80,59,77,78,54,65,75,69,77,71,69,70,67,11,14,6,11,8
ATACANTE,61,62,12,12,12,55,75,77,31,51,55,51,67,52,81,78,61,78,67,69,71,70,81,74,77,55,53,77,76,15,8,8,8,9
ATACANTE,73,63,12,10,18,52,67,74,20,65,74,42,71,53,53,56,60,88,58,67,62,76,86,73,72,63,52,76,77,10,10,18,10,13
MEIO,75,74,31,32,31,54,82,70,33,76,74,73,75,61,73,65,71,77,62,66,55,61,77,62,74,71,72,66,72,15,12,7,16,9
MEIO,75,75,24,22,24,61,70,72,22,76,76,75,73,64,76,69,72,64,81,71,74,77,72,72,77,79,76,65,61,15,18,13,16,15
MEIO,71,77,23,22,21,45,77,76,45,77,66,74,72,61,81,71,66,67,70,72,55,51,57,61,62,83,75,71,55,9,8,9,14,12
MEIO,74,75,31,33,24,39,80,72,36,74,74,71,75,60,83,75,68,33,90,86,66,42,59,64,56,73,69,68,74,7,11,7,9,9
MEIO,75,74,22,23,27,65,62,76,22,76,75,75,72,62,70,70,73,57,75,78,73,68,70,75,75,81,75,68,63,16,16,18,11,15
MEIO,72,77,31,22,23,34,74,75,45,76,67,75,75,74,77,72,66,71,71,77,45,68,63,61,62,77,76,76,64,8,9,8,9,16
MEIO,73,74,30,31,33,54,76,74,20,75,83,73,74,75,45,56,68,44,76,78,48,42,74,72,75,83,75,72,73,8,13,8,10,13
MEIO,72,70,74,68,76,74,74,64,71,66,72,56,75,74,53,64,70,80,66,60,67,59,83,59,76,65,60,64,72,9,9,7,10,16
MEIO,70,64,75,68,76,66,82,70,66,63,53,42,76,77,74,76,77,69,68,68,68,73,82,65,77,53,71,70,71,7,7,13,12,8
MEIO,75,77,52,48,56,47,67,67,44,74,76,75,77,71,74,75,58,60,62,82,64,58,55,65,57,70,62,64,66,7,8,11,15,15
ZAGUEIRO,55,41,71,75,76,72,71,24,72,45,56,45,66,62,56,53,61,82,53,55,71,75,54,44,52,36,55,61,34,9,7,12,16,11
ZAGUEIRO,72,58,72,67,77,78,72,41,73,34,52,62,68,71,66,70,74,73,61,55,67,74,70,47,52,49,43,67,51,6,13,13,8,12
ZAGUEIRO,72,37,74,65,77,67,87,32,74,24,82,39,66,65,33,42,46,87,41,40,43,74,77,36,44,39,31,48,44,8,7,9,13,8
ZAGUEIRO,51,45,74,72,77,76,71,35,72,54,62,51,67,66,55,56,61,82,57,54,78,71,53,41,52,41,42,43,54,8,7,7,13,15
ZAGUEIRO,72,46,71,69,76,84,88,38,72,42,71,40,71,61,83,78,71,68,68,77,69,70,53,38,41,45,49,56,44,7,10,14,16,12
ZAGUEIRO,69,75,76,77,74,82,68,58,73,56,63,68,76,67,69,76,76,58,58,80,77,75,56,36,55,65,49,48,54,13,13,17,10,15
ZAGUEIRO,71,72,73,76,72,75,59,58,73,57,54,73,66,74,81,83,81,62,70,80,73,72,54,48,58,80,65,55,58,12,10,9,8,13
ZAGUEIRO,76,77,71,74,75,45,61,51,66,51,34,74,67,67,82,83,81,72,67,71,60,62,62,56,61,66,56,55,45,10,13,9,8,12
GK,16,8,17,10,9,36,67,5,12,37,42,18,24,20,17,18,15,60,22,44,41,20,30,12,13,31,22,34,18,77,68,74,76,73
MEIO,75,74,33,21,29,54,78,73,54,75,72,74,75,73,75,67,67,74,62,77,56,71,71,57,75,81,76,69,55,7,9,8,8,12
MEIO,73,72,55,57,58,49,81,77,66,71,68,72,70,58,88,82,76,60,75,81,53,43,63,64,66,49,60,53,58,20,8,12,10,19
MEIO,76,74,39,41,52,46,74,74,38,73,71,76,76,59,81,77,48,52,70,64,67,54,52,70,52,67,76,57,67,10,15,12,13,9
MEIO,73,71,71,64,77,67,81,66,67,76,81,71,72,74,77,71,85,71,62,61,63,69,64,55,52,62,42,42,61,7,7,13,16,9
MEIO,73,67,60,68,76,81,71,62,76,64,59,59,74,77,77,72,81,73,73,74,91,68,73,58,71,82,49,61,60,8,13,15,12,15
MEIO,69,71,73,65,69,75,79,63,70,76,56,72,76,76,72,74,82,71,83,81,74,69,58,53,61,64,57,71,53,8,9,12,12,12
MEIO,66,61,66,71,77,78,76,71,74,77,55,65,74,68,66,62,84,77,64,61,66,53,82,54,42,79,76,73,45,13,13,14,13,9
ZAGUEIRO,62,46,74,72,76,81,68,48,75,47,61,49,67,63,54,58,73,72,57,48,71,76,62,38,50,49,42,54,38,18,8,9,10,18
ZAGUEIRO,55,50,76,66,74,87,64,32,72,43,52,41,66,70,46,41,61,88,32,33,58,76,72,41,41,53,40,48,54,11,7,12,16,14
ZAGUEIRO,67,59,73,71,77,71,58,26,73,59,71,51,74,74,40,66,59,85,45,43,42,75,60,36,54,57,73,48,52,12,12,7,12,11
ZAGUEIRO,71,73,72,73,72,53,73,59,71,51,67,71,69,66,77,71,82,62,77,72,71,71,55,51,52,46,49,62,58,11,11,18,10,14
ZAGUEIRO,69,61,76,71,77,79,72,51,70,70,68,73,70,69,71,73,81,62,65,64,64,68,55,45,52,45,46,51,41,13,13,1,9,7
ATACANTE,74,70,29,28,38,79,73,74,41,61,65,59,64,51,71,75,73,75,57,63,75,79,77,73,65,54,35,72,75,11,14,5,6,12
ATACANTE,74,66,21,16,17,30,74,77,19,51,62,62,62,52,66,65,72,84,42,69,44,78,70,74,70,72,68,67,66,10,9,11,15,9
ZAGUEIRO,62,52,73,76,75,73,69,59,71,61,74,41,64,70,68,67,75,78,59,64,75,76,50,32,35,62,37,48,31,5,9,5,10,13
MEIO,76,78,36,42,46,57,78,68,29,74,76,65,75,69,78,76,67,44,76,86,57,47,64,55,57,67,54,56,63,7,10,9,14,14
MEIO,76,80,25,31,37,62,77,78,39,67,77,67,62,51,86,84,68,57,88,83,66,43,77,72,70,76,69,71,72,15,15,15,12,9
ZAGUEIRO,64,69,72,74,75,75,68,55,75,56,72,32,67,65,84,83,73,72,63,73,82,68,63,48,47,33,28,59,44,13,12,9,14,11
MEIO,72,63,72,75,77,74,73,41,76,65,71,50,73,69,76,78,88,75,65,68,78,73,78,44,68,57,29,35,66,7,13,7,14,13
ZAGUEIRO,61,42,69,78,73,82,71,28,67,32,66,44,67,65,61,81,78,87,44,58,65,75,41,28,31,38,37,33,24,14,8,7,7,13
MEIO,78,82,27,30,28,34,71,65,23,65,60,73,66,64,85,83,62,56,83,89,54,32,73,64,82,73,67,56,54,12,6,13,9,15
MEIO,79,74,28,48,55,65,64,66,34,80,57,73,78,73,76,77,74,57,78,78,57,36,58,55,59,67,72,55,69,15,10,10,7,14
ATACANTE,75,80,20,43,55,56,71,80,42,72,76,72,66,62,75,81,59,65,51,61,62,80,64,75,69,67,66,69,71,9,13,9,8,13
GK,22,19,12,19,19,22,76,18,25,59,25,21,31,24,45,49,30,49,57,34,58,18,24,20,12,12,17,22,20,72,77,68,69,72
ZAGUEIRO,62,47,71,65,76,66,68,38,71,44,55,43,64,57,57,65,66,91,53,40,67,79,52,30,33,27,41,45,30,7,10,14,16,12
ZAGUEIRO,73,74,66,74,71,67,68,57,73,44,66,81,70,70,71,76,81,72,73,69,68,61,60,46,45,73,55,52,41,13,15,13,16,9
ZAGUEIRO,69,68,66,74,74,66,66,58,72,58,72,78,68,68,72,82,88,78,52,68,64,68,59,26,41,64,35,31,37,7,14,13,14,6
MEIO,77,79,30,45,55,65,67,68,45,73,73,70,74,73,79,78,72,60,79,81,58,55,76,67,65,79,74,60,64,15,13,15,14,10
ZAGUEIRO,74,75,70,72,74,72,76,74,70,67,74,72,72,67,78,80,80,67,74,74,80,63,68,52,64,72,35,48,62,8,9,7,10,10
ZAGUEIRO,71,53,74,76,79,69,68,29,75,35,47,24,68,71,63,56,62,75,54,34,78,66,57,51,41,25,26,37,28,11,7,10,14,13
ATACANTE,70,62,43,40,35,69,70,75,42,61,54,60,66,59,77,69,69,83,54,63,77,78,78,77,65,52,41,65,69,12,14,6,15,15
MEIO,73,80,33,29,30,59,66,72,24,65,60,73,67,55,90,88,62,61,78,79,52,49,74,74,71,57,55,62,65,13,13,11,12,10
ATACANTE,69,75,13,18,14,43,74,82,21,52,54,44,58,49,75,75,68,75,66,76,68,68,71,76,62,42,54,67,67,8,10,12,12,14
MEIO,74,75,34,49,57,67,77,73,65,77,65,66,76,73,74,72,73,42,92,82,60,59,58,62,57,65,58,61,57,11,7,13,14,6
ZAGUEIRO,71,67,68,69,70,80,77,76,72,63,75,73,69,69,76,78,84,75,78,74,84,65,66,60,57,77,66,52,54,13,14,11,16,7
MEIO,71,70,49,57,64,82,84,81,67,68,80,64,80,76,63,66,86,68,59,52,73,54,70,74,69,53,59,53,59,9,10,9,15,14
ZAGUEIRO,59,53,77,76,75,64,69,32,73,46,55,55,70,67,64,66,70,75,52,42,71,73,43,22,22,29,29,47,35,6,10,12,11,13
ZAGUEIRO,72,62,69,71,73,70,71,61,73,54,65,73,70,66,77,82,89,55,62,68,53,63,62,30,43,62,32,40,49,9,9,13,13,10
MEIO,78,81,58,59,62,66,69,70,60,65,67,67,63,57,91,90,81,55,91,85,71,54,78,65,70,82,72,50,71,9,11,13,12,9
GK,24,19,20,19,15,36,70,13,24,56,41,21,45,40,45,50,38,77,49,44,75,14,46,12,19,24,13,20,16,68,74,66,74,79
MEIO,71,67,76,67,73,77,69,55,76,62,68,48,75,73,75,74,66,74,67,61,57,60,74,58,79,55,52,60,76,14,10,7,13,11
ATACANTE,79,77,22,24,33,45,68,72,20,61,46,73,68,55,85,89,65,83,57,78,82,64,80,69,58,56,54,68,55,8,8,14,15,10
MEIO,82,83,35,24,33,61,68,63,38,60,67,66,68,54,89,85,73,54,89,89,41,50,72,66,68,79,67,50,62,7,10,10,8,14
